Artikel,Deutsch,Plural Suffix,Plural,Type,English,فارسی
der,Schritt,e,Schritte,,step,قدم
der,Schulhof,Schulhöfe,Schulhöfe,,schoolyard,حیاط مدرسه
der,Soldat,en,Soldaten,,soldier,سرباز
die,Soldatin,nen,Soldatinnen,,female soldier,سرباز زن
der,General,e,Generale,,general,تیمسار
die,Generalin,nen,Generalinnen,,general,تیمسار
das,Spielzeug,e,Spielzeuge,,toy,اسباب بازی
das,Stichwort,Stickwörter,Stickwörter,,keyword,کلمه کلیدی
das,Schlüsselwort,Schlüsselwörter,Schlüsselwörter,,keyword,کلمه کلیدی
der,Treffpunkt,e,Treffpunkte,,meeting point,نقطه ملاقات
der,Unterschied,e,Unterschiede,,difference,تفاوت
die,Verwendung,en,Verwendungen,,use,كاربرد
die,Verzeihung,,,,forgiveness,بخشش
der,Wald,Wälder,Wälder,,forest,جنگل
die,Werkstatt,Werksätten,Werksätten,,workshop,کارگاه
der,Zweck,e,Zwecke,,purpose,هدف
der,Bescheid,e,Bescheide,,notice,خبر
,abgeben,,,v,hand over,واگذار کردن
,anrempeln,,,v,bumping into,برخورد کردن
,behalten,,,v,keep,نگه داشتن
,beraten,,,v,advise,راهنمایی كردن
,betrügen,,,v,deceive,فریب دادن
,brennen,,,v,burn,سوزاندن
,denken,,,v,think,فكر كردن
,bedanken,,,v,thanks,تشكر كردن
,erkundigen,,,v,inquire,پرس و جو كردن
,einsammeln,,,v,collect,جمع آوری کردن
,eintreffen,,,v,arrive,رسیدن
,enden,,,v,end,به پایان رسیدن
,entschuldigen,,,v,excuse,عذرخواهی كردن
,falten,,,v,fold,تا كردن
,freuen,,,v,be happy,شاد شدن
,fürchten,,,v,fear,ترسیدن
,glauben,,,v,believe,باور داشتن
,geratullieren,,,v,to rattle,تق تق کردن
,herankommen,,,v,approach,نزدیک شدن
,marken,,,v,brand,نشان تجاری گذاشتن
,pflanzen,,,v,plant,کاشتن
,protestieren,,,v,protest,تظاهرات كردن
,rauchen,,,v,smoke,سیگار كشیدن
,rennen,,,v,run,دویدن
,sinken,,,v,sink,سینک
,stimmen,,,v,be right,درست بودن
,umschauen,,,v,look around,به دور و بر نگاهی انداختن
,unterhalten,,,v,entertain,سرگرم کردن
,untersuchen,,,v,examine,معاینه كردن
,verabschieden,,,v,say goodbye,بدرقه كردن
,vereinbaren,,,v,agree,توافق كردن
,verlieren,,,v,lose,از دست دادن
,vertrauen,,,v,trust,اعتماد
,verzaubern,,,v,enchant,افسون کردن
,wachsen,,,v,grow,رشد كردن
,weitergeben,,,v,pass along,دست به دست دادن
,zurückgeben,,,v,return,پس دادن
,aktuell,,,adj,current,فعلی
,arm,,,adj,poor,فقیر
,aufmerksam,,,adj,attentive,هوشیار
,bekannt,,,adj,known,مشهور
,bestimmt,,,adv,certainly,قطعاً
,erstmalig,,,adj,for the first time,برای اولین بار
,letztmalig,,,adj,last time,آخرین بار
,ganz,,,adj,quite,کاملاً
,genau,,,adv,exactly,دقیقاً
,genauer,,,adj,more precisely,دقیق تر
,halb,,,prep,half,نیم
,komisch,,,adj,funny,خنده دار
,märchenhaft,,,adj,fairytale-like,افسانه ای مانند
,normal,,,adj,normal,عادی
,zerbrechen,,,v,break,استراحت
,plötzlich,,,adj,sudden,ناگهان
,jemand,,,pron,someone,کسی
,niemand,,,pron,no one,هیچ کس
,am Ende,,,p,in the end,در نهایت
,ohne Erfolg,,,p,without success,بدون موفقیت
,,,,,,
die,Ader,n,Adern,,vein,رگ
der,Arm,e,Arme,,poor,تنگدست
das,Auge,n,Augen,,eye,چشم
der,Bauch,Bäuche,Bäuche,,belly,شکم
das,Bein,e,Beine,,leg,ساق پا
die,Brust,Brüste,Brüste,,breast,سینه
der,Finger,,,,finger,انگشت
der,Fuß,Füße,Füße,,foot,پا
der,Hals,Hälse,Hälse,,throat,گلو
die,Hand,Hände,Hände,,hand,دست
das,Knie,Knie,Knie,,knee,زانو
der,Knochen,Knochen,Knochen,,bone,استخوان
der,Kopf,Köpfe,Köpfe,,head,سر
die,Lunge,n,Lungen,,lung,ریه
der,Magen,Mägen,Mägen,,stomach,معده
die,Mandel,n,Mandeln,,tonsil,لوزه
der,Mund,Münder,Münder,,mouth,دهان
der,Muskel,n,Muskeln,,muscle,عضله
die,Nase,n,Nasen,,nose,بینی
der,Nerv,en,Nerven,,nerve,عصب
das,Ohr,en,Ohren,,ear,گوش
der,Po,s,Pos,,bum,نشیمنگاه
der,Rücken,Rücken,Rücken,,back,پشت
der,Schenkel,Schenkel,Schenkel,,leg,ساق پا
der,Oberschenkel,Oberschenkel,Oberschenkel,,thigh,ران
der,Unterschenkel,Unterschenkel,Unterschenkel,,lower leg,ساق پا
die,Schulter,n,Schultern,,shoulder,شانه
das,Skelett,e,Skelette,,skeleton,اسکلت
der,Zeh,en,Zehen,,toe,انگشت پا
das,Immunsystem,e,Immunsysteme,,immune system,سیستم ایمنی
der,Körper,Körper,Körper,,body,بدن
der,Körperteil,e,Körperteile,,body part,قسمت بدن
das,Organ,e,Organe,,organ,ارگان
die,Beschwerde,n,Beschwerden,,complaint,شکایت
die,Krankheit,en,Krankheiten,,illness,ناخوشی
die,Erkrankung,en,Erkrankungen,,disease,بیماری
die,Vorerkrankung,en,Vorerkrankungen,,pre-existing condition,بیماری زمینه ای
die,Allergie,n,Allergien,,allergy,آلرژی
das,Fieber,,,,fever,تب
der,Schmerz,en,Schmerzen,,pain,درد
,erkältet,,,adj,having a cold,دچار سرماخوردگی
,fehlen,,,v,miss,نبودن
,wehtun,,,v,hurt,درد کردن
der,Patient,,,,patient,بیمار
die,Praxis,Praxen,Praxen,,doctor’s office,مطب
der,Arzt,Ärzt,Ärzt,,doctor,پزشک
die,Ärztin,nen,Ärztinnen,,doctor,پزشك
der,Allgemeinmediziner,,,,general practitioner,پزشک عمومی
der,Internist,en,Internisten,,internist,متخصص داخلی
der,Arzthelfer,e,Arzthelfere,,doctor's assistant,دستیار پزشکی
die,Arzthelferin,nen,Arzthelferinnen,,doctor's assistant,دستیار پزشک
der,Krankengymnast,en,Krankengymnasten,,physiotherapist,فیزیوتراپیست
die,Krankengymnastin,nen,Krankengymnastinnen,,physiotherapist,فیزیوتراپیست
die,Krankengymnastik,,,,physiotherapy,فیزیوتراپی
der,Spezialist,en,Spezialisten,,specialist,متخصص
die,Spezialistin,nen,Spezialistinnen,,specialist,متخصص
der,Patient,en,Patienten,,"patient,sick person","بیمار،شکیبا"
die,Patientin,nen,Patientinnen,,"patient,sick person","بیمار،شکیبا"
der,Kassenpatient,en,Kassenpatienten,,public health insurance patient,بیمار تحت پوشش بیمه دولتی
der,Patientenbogen,Patientenbögen,Patientenbögen,,patient questionnaire,پرسشنامه بیمار
die,Krankenkasse,n,Krankenkassen,,health insurance,بیمه سلامت
die,Versichertenkarte,n,Versichertenkarten,,insurance card,کارت بیمه
,versichern,,,v,assure,اطمینان دادن
der,Raucher,Raucher,Raucher,,smoker,سیگاری
die,Behandlung,en,Behandlungen,,treatment,درمان
das,Gebiet,e,Gebiete,,area,مساحت
das,Anwendungsgebiet,e,Anwendungsgebiete,,application area,حوزه کاربرد
die,Akupunktur,en,Akupunkturen,,acupuncture,طب سوزنی
die,Operation,en,Operationen,,operation,جراحی
die,Diät,en,Diäten,,diet,رژیم غذایی
,Diät einhalten,,,p,follow the diet,حفظ کردن رژیم غذایی
das,Medikament,e,Medikamente,,medication,دارو
das,Mittel,Mittel,Mittel,,remedy,چاره
das,Heilmittel,Heilmittel,Heilmittel,,healing agent,دارو
das,Magenmittel,Magenmittel,Magenmittel,,stomach remedies,داروهای معده
die,Flüssigkeit,en,Flüssigkeiten,,liquid,مایع
die,Tablette,n,Tabletten,,tablet,قرص
das,Penizillin,e,Penizilline,,penicillin,پنی‌سیلین
der,Tropfen,Tropfen,Tropfen,,drop,قطره
der,Beipackzettel,Beipackzettel,Beipackzettel,,instruction leaflet,جزوه دستورالعمل
die,Dosierung,en,Dosierungen,,dosage,مقدار مصرف
die,Wirkung,en,Wirkungen,,effect,اثر
die,Nebenwirkung,en,Nebenwirkungen,,side effect,عوارض جانبی
die,Temperatur,en,Temperaturen,,temperature,دما
,messen,,,v,measure,اندازه گرفتن
,heilen,,,v,heal,درمان كردن
,verordnen,,,v,prescribe,تجویز كردن
,verschreiben,,,v,prescribe,تجویز كردن
,Überweisen,,,v,transfer,انتقال دادن
,homöopathisch,,,v,homeopathic,هومیوپاتی یا درمان همسان‌گرا
die,Abteilung,en,Abteilungen,,department,دپارتمان
die,Dauer,,,,duration,مدت
die,Empfehlung,en,Empfehlungen,,recommendation,توصیه
die,Entwicklung,en,Entwicklungen,,development,توسعه
der,Fall,Fälle,Fälle,,case,مورد
die,Forschung,en,Forschungen,,research,پژوهش
die,Fortbildung,en,Fortbildungen,,continuing education,دانش‌افزایی
der,Dienst,e,Dienste,,service,خدمات
der,Frühdienst,e,Frühdienste,,early shift,نوبت کاری صبح
der,Spätdienst,e,Spätdienste,,late shift,نوبت کاری عصر
das,Gerät,e,Geräte,,device,دستگاه
das,Gewicht,e,Gewichte,,weight,وزن
das,Labor,e,Labore,,laboratory,آزمایشگاه
das,Licht,er,Lichter,,light,نور
die,Mahlzeit,en,Mahlzeiten,,meal,وعده غذایی
die,Müdigkeit,-,-,,fatigue,خستگی
der,Rad,Räder,Räder,,wheel,چرخ
der,Radschlag,Radschläge,Radschläge,,cartwheel,چرخ و فلک زدن در ورزش
die,Rezeption,en,Rezeptionen,,reception,پذیرش
die,Schwangerschaft,en,Schwangerschaften,,pregnancy,بارداری
der,Säugling,e,Säuglinge,,infant,نوزاد
das,Schild,er,Schilder,,sign,تابلو
der,Schild,e,Schilde,,shield,سپر
die,Sorge,n,Sorgen,,worries,نگرانی‌ها
das,Tuch,e,Tuche,,cloth,پارچه
die,Verabredung,en,Verabredungen,,appointment,انتصاب
die,Verkehrstüchtigkeit,-,-,,roadworthiness,معاینه فنی
die,Fahrtüchtigkeit,-,-,,fitness to drive,صلاحیت رانندگی
die,Vertretung,en,Vertretungen,,substitution,جانشین
der,Wissenschaftler,Wissenschaftler,Wissenschaftler,,scientist,دانشمند
die,Wissenschaftlerin,nen,Wissenschaftlerinnen,,scientist,دانشمند
,angehen,,,v,concern,ربط داشتن
,anstrengen,,,v,exert,بکار بردن
,anweisen,,,v,instruct,دستور دادن
,ausruhen,,,v,relax,استراحت كردن
,ausstellen,,,v,exhibit,نمایش دادن
,behandeln,,,v,treat,درمان كردن
,bemerken,,,v,notice,اشاره كردن
,dienen,,,v,serve,خدمت کردن
,entdecken,,,v,discover,كشف كردن
,experimentieren,,,v,experiment,آزمایش کردن
,forschen,,,v,research,پژوهش کردن
,hingehen,,,v,go there,به جایی رفتن
,spazieren gehen,,,v,go for a stroll,قدم زدن
,tun,,,v,do,انجام دادن
,überzeugt,,,adj,convinced,متقاعد شده
,verbinden,,,v,connect,وصل كردن
,Vergehen,,,v,pass,سپری شدن
,vergessen,,,v,forget,فراموش كردن
,verschieben,,,v,move,جابه‌جا كردن
,rücken,,,,move,جابه‌جا شدن
,ambulant,,,adj,outpatient,بیمار سرپایی
,dauernd,,,adj,constantly,دائماً
,deutlich,,,adj,clear,واضح
,erfahren,,,v,experience,تجربه كردن
,erfahren,,,adj,expert,كاركشته
,häufig,,,adj,frequent,رایج
,historisch,,,adj,historical,تاریخی
,informativ,,,adj,informative,آموزنده
,kompetent,,,adj,competent,شایسته
,müde,,,adj,tired,خسته
,nötig,,,adj,necessary,لازم
,schwanger,,,adj,pregnant,باردار
,stark,,,adj,strong,قوی
,täglich,,,adj,daily,روزانه
,traditionell,,,adj,traditional,سنتی
,technisch,,,adj,technical,فنی
,zukünftig,,,adj,future,آینده
,möglicherweise,,,adv,possibly,احتمالاً
,tagsüber,,,adv,during the day,در طول روز
,zuletzt,,,adv,last,در آخر
,jeder,,,pron,every,هر
,selbst,,,pron,oneself,خودِ شخص
,,,,,,
die,Wetterbericht,e,Wetterberichte,,weather report,گزارش آب و هوا
die,Wetterkarte,n,Wetterkarten,,weather map,نقشه آب و هوا
das,Celsius,,,,celsius,سانتیگراد
das,Gewitter,Gewitter,Gewitter,,thunderstorm,رعد و برق
der,Hagel,Hagel,Hagel,,hail,تگرگ
der,Nebel,Nebel,Nebel,,fog,مه
der,Schnee,,,,snow,برف
der,Wind,e,Winde,,wind,باد
,scheinen,,,v,shine,"به نظر رسیدن،تابیدن"
,fallen,,,v,fall,افتادن
,regnen,,,v,rain,باران باریدن
,hageln,,,v,hail,تگرگ باریدن
,gewittern,,,v,thunderstorm,رعد و برق زدن
,blitzen,,,v,lightning,آذرخش زدن
,donnern,,,v,thunder,رعد
,schneien,,,v,snow,برف باریدن
,wehen,,,v,blow,وزیدن
,stürmen,,,v,storm,طوفانی بودن
,sonnig,,,adj,sunny,آفتابی
,heiter,,,adj,cheerful,صاف آفتابی
,bedeckt,,,adj,"covered,cloudy","ابری،گرفته"
,bewölkt,,,adj,cloudy,ابری
,neblig,,,adj,foggy,مه آلود
,regnerisch,,,adj,rainy,بارانی
,windig,,,adj,windy,بادخیز
,stürmisch,,,adj,stormy,طوفانی
,kalt,,,adj,cold,سرد
,kühl,,,adj,cool,خنك
,milde,,,adj,mild,خفیف
,warm,,,adj,warm,گرم
,heiß,,,adj,hot,داغ
die,Bekleidung,en,Bekleidungen,,clothing,لباس
das,Modell,e,Modelle,,model,نمونه
der,Daunenmantel,Daunenmäntel,Daunenmäntel,,down coat,کاپشن بلند
die,Regenhose,n,Regenhosen,,rain pants,شلوار بارانی
die,Jacke,n,Jacken,,jacket,کاپشن
die,Regenjacke,n,Regenjacken,,rain jacket,کاپشن بارونی
die,Strickjacke,n,Strickjacken,,cardigan,ژاکت کش باف پشمی
der,Ärmel,Ärmel,Ärmel,,sleeve,آستین
die,Kapuze,n,Kapuzen,,hood,کلاه وصل به لباس
der,Ausschnitt,e,Ausschnitte,,neckline,خط یقه
,V-Ausschnitt,e,e,,v-neck,یقه هفت
der,Kragen,Kragen,Kragen,,collar,یقه
der,Rollkragen,Rollkragen,Rollkragen,,turtleneck,یقه اسکی
der,Knopf,Knöpfe,Knöpfe,,button,دکمه
der,Reißverschluss,Reißverschlüsse,Reißverschlüsse,,zipper,زیپ
das,Loch,Löcher,Löcher,,hole,سوراخ
das,Leinen,Leinen,Leinen,,linen,كتان
die,Größe,n,Größen,,size,اندازه
die,Kleidergröße,n,Kleidergrößen,,clothes size,اندازه لباس
die,Handtasche,n,Handtaschen,,handbag,کیف دستی
die,Dame,n,Damen,,lady,بانو
die,Abteilung,en,Abteilungen,,department,دپارتمان
die,Damenabteilung,en,Damenabteilungen,,women's department,بخش زنان
die,Herrenabteilung,en,Herrenabteilungen,,men's department,بخش آقایان
die,Sportabteilung,en,Sportabteilungen,,sports department,بخش ورزشی
die,Kabine,n,Kabinen,,cabin,کابین
die,Umkleidekabine,n,Umkleidekabinen,,changing room,اتاق تعویض لباس
das,Etikett,en,Etiketten,,label,برچسب
der,Kassenbon,s,Kassenbons,,receipt,قبض
der,Umtausch,e,Umtausche,,exchange,مبادله
,umtauschen,,,v,exchange,مبادله کردن
,aussuchen,,,v,choose,انتخاب کردن
,shoppen,,,v,go shopping,خرید کردن
,altmodisch,,,adj,old-fashioned,قدیمی و از مد افتاده
,cool,,,adj,cool,باحال
,bequem,,,adj,comfortable,راحت
,geblümt,,,adj,floral,گلدار
,gestreift,,,adj,striped,راه راه
,ärmellos,,,adj,sleeveless,بدون آستین
,kurzärmlig,,,adj,short-sleeved,آستین کوتاه
,hübsch,,,adj,pretty,خوشگل
,praktisch,,,adj,practical,کاربردی
,schick,,,adj,stylish,خوش‌لباس
,sportlich,,,adj,sporty,ورزشی
,wasserfest,,,adj,waterproof,ضد آب
die,Ware,n,Waren,,goods,کالا
das,Geschäft,e,Geschäfte,,business,کسب و کار
die,Haushaltsware,n,Haushaltswaren,,household goods,کالاهای خانگی
die,Schreibware,n,Schreibwaren,,stationery,لوازم التحریر
die,Spielware,n,Spielwaren,,toys,اسباب‌بازی‌ها
das,Multimedia,,,,multimedia,چندرسانه‌ای
das,Sonderangebot,e,Sonderangebote,,special offer,پیشنهاد ویژه
das,Schnäppchen,,,,bargain,کالای حراجی
der,Schnäppchenmarkt,Schnäppchenmärkte,Schnäppchenmärkte,,bargain market,بازار حراجی
,reduzieren,,,v,reduce,كاهش دادن
das,Bierfass,Bierfässer,Bierfässer,,beer barrel,بشکه آبجو
das,Bierzelt,e,Bierzelte,,beer tent,چادر آبجو
der,Wirt,e,Wirte,,host,میزبان
der,Gastwirt,e,Gastwirte,,innkeeper,مهمانخانه‌دار
das,Brathendl,Brathendeln,Brathendeln,,roast chicken,مرغ بریان
das,Pferd,e,Pferde,,horse,اسب
das,Pferderennen,Pferderennen,Pferderennen,,horse racing,مسابقات اسب دوانی
der,Pferdewagen,Pferdewagen,Pferdewagen,,horse-drawn carriage,درشکه
der,Touristenmagnet,e,Touristenmagnete,,tourist attraction,جاذبه گردشگری
das,Volk,,,,people,مردم
das,Volksfest,e,Volksfeste,,folk festival,جشنواره مردمی
der,Betrieb,e,Betriebe,,business,کسب و کار
die,Gastronomie,,,,gastronomy,رستوران‌داری
der,Schausteller,,,,showmen,غرفه دار در شهربازی
das,Karussell,s,Karussells,,carousel,چرخ و فلک (افقی)
das,Riesenrad,Risenräder,Risenräder,,ferris wheel,چرخ و فلک بزرگ (عمودی)
die,Achterbahn,en,Achterbahnen,,roller coaster,ترن هوایی
die,Schaukel,n,Schaukeln,,swing,نوسان
die,Wiese,n,Wiesen,,meadow,علفزار
der,Bürgermeister,Bürgermeister,Bürgermeister,,mayor,شهردار
die,Bürgermeisterin,nen,Bürgermeisterinnen,,mayor,شهردار
der,Oberbürgermeister,Oberbürgermeister,Oberbürgermeister,,chief mayor,شهردار ارشد
der,Abschnitt,e,Abschnitte,,section,بخش
die,Bedeutung,en,Bedeutungen,,meaning,معنی
die,Erinnerung,en,Erinnerungen,,memory,یادآوری
die,Feierlichkeit,en,Feierlichkeiten,,solemnity,مراسم باشکوه
der,Geschmack,Geschmäcke,Geschmäcke,,taste,طعم
die,Hochzeit,en,Hochzeiten,,wedding,عروسی
das,Malbuch,Malbücher,Malbücher,,coloring book,کتاب رنگ آمیزی
der,Prinz,en,Prinzen,,prince,شاهزاده
die,Prinzessin,nen,Prinzessinnen,,princess,شاهزاده خانم
der,Regisseur,e,Regisseure,,director,کارگردان
die,Regisseurin,nen,Regisseurinnen,,director,کارگردان
die,Umgebung,en,Umgebungen,,vicinity,مجاورت
der,Umsatz,Umsätze,Umsätze,,turnover,گردش مالی
die,Unterhaltung,en,Unterhaltungen,,entertainment,سرگرمی
,entstehen,,,v,arise,به‌وجود آمدن
,entwickeln,,,v,develop,توسعه دادن
,gebrauchen,,,v,use,به كار بردن
,hinweisen,,,v,point,اشاره کردن
,wandern,,,v,hike,کوه‌پیمایی كردن
,übersetzen,,,v,translate,ترجمه كردن
,erst,,,adv,first,اول
,froh,,,adj,glad,خوشحال
,kaputt,,,adj,broken,خراب
,riesig,,,adj,gigantic,غول پیکر
,schwach,,,adj,weak,ضعیف
,stark,,,adj,strong,قوی
,vereinzelt,,,adj,occasionally,پراکنده
,verschieden,,,adj,different,متفاوت
,wirtschaftlich,,,adj,economically,مقتصدانه
,zahlreich,,,adj,numerous,فراوان
,schließlich,,,adv,finally,سرانجام
,teils,,,adv,partly,بخشی
,vorne,,,adv,in front,جلو
,mithilfe,,,prep,with the help of,با استفاده از
,über,,,prep,above,در بالایِ
,gar nicht,,,adv,not at all,هیچ‌جور
,ideal,,,adj,ideal,دلخواه
,zum ersten,,,adv,first of all,اول از همه
,zum ersten Mal,,,adv,for the first time,برای اولین بار
,,,,,,
die,Übernachtung,en,Übernachtungen,,overnight stay,اقامت شبانه
der,Campingplatz,Campingplätze,Campingplätze,,campsite,اردوگاه توریستی
die,Jugendherberge,n,Jugendherbergen,,youth hostel,خوابگاه جوانان
der,Gastgeber,Gastgeber,Gastgeber,,host,مهمان دار
die,Gastgeberin,nen,Gastgeberinnen,,hostess,مهماندار زن
das,Gästebett,en,Gästebetten,,guest bed,تختخواب مهمان
das,Fahren,,,,drive,راندن
die,Fahrt,en,Fahrten,,trip,سفر
die,Abfahrt,en,Abfahrten,,departure,عزیمت
das,Fahrzeug,e,Fahrzeuge,,vehicle,وسیله نقلیه
der,Fahrplan,Fahrpläne,Fahrpläne,,timetable,جدول زمانی
die,autobahn,en,autobahnen,,highway,بزرگراه
die,Reise,n,Reisen,,trip,سفر
das,Reiseziel,e,Reiseziele,,destination,مقصد
die,Grenze,n,Grenzen,,border,مرز
der,Grenzübergang,Grenzübergänge,Grenzübergänge,,border crossing,گذرگاه مرزی
das,Navigationsgerät,e,Navigationsgeräte,,navigation device,دستگاه ناوبری
die,Maut,,,,toll,عوارض بزرگراه
,mautpflichtig,,,,subject to toll,مشمول پرداخت عوارض
die,Vignette,n,Vignetten,,toll sticker,برچسب عوارض
die,Geschwindigkeit,en,Geschwindigkeiten,,speed,سرعت
die,Höchstgeschwindigkeit,en,Höchstgeschwindigkeiten,,top speed,حداکثر سرعت
,abstellen,,,v,turn off,خاموش کردن
,parken,,,v,park,پارك كردن
das,Parkhaus,Parkhäuser,Parkhäuser,,parking garage,گاراژ
die,Tankstelle,n,Tankstellen,,gas station,پمپ بنزین
das,Ticket,,,,ticket,بلیط
der,Vorverkauf,Vorverkäufe,Vorverkäufe,,advance booking,رزرو قبلی
die,Vorverkaufsstelle,n,Vorverkaufsstellen,,ticket agency,دفتر فروش بلیت
der,Fahrschein,e,Fahrscheine,,ticket,بلیط
der,Einzelfahrschein,e,Einzelfahrscheine,,single ticket,بلیت یک‌طرفه
die,Zeitkarte,n,Zeitkarten,,season ticket,بلیت مدت‌دار
die,Entwertung,en,Entwertungen,,validation,تایید اعتبار
die,Stadtbesichtigung,en,Stadtbesichtigungen,,city tour,تور شهری
der,Spaziergang,Spaziergägne,Spaziergägne,,stroll,قدم زدن
der,Stadtrundgang,Stadtrundgänge,Stadtrundgänge,,walking tour,گشت شهری (پیاده)
der,Besuch,e,Besuche,,visit,دیدار
der,Kinobesuch,e,Kinobesuche,,cinema visit,تماشای فیلم در سینما
der,Theaterbesuch,e,Theaterbesuche,,going to the theater,تماشای نمایش در تئاتر
das,Theaterstück,e,Theaterstücke,,play,نمایشنامه
die,Vorstellung,en,Vorstellungen,,performance,اجرا
der,Klassiker,Klassiker,Klassiker,,classic,ماندگار
der,FilmKlassiker,FilmKlassiker,FilmKlassiker,,film classics,فیلم ماندگار
der,Drehort,e,Drehorte,,filming location,محل فیلمبرداری
die,Hauptfigur,en,Hauptfiguren,,main character,شخصیت اصلی
der,Dom,e,Dome,,cathedral,کلیسای جامع
der,Flohmarkt,Flohmärkte,Flohmärkte,,flea market,بازار دستفروشی
die,Staatsoper,Staatsopern,Staatsopern,,state opera,اپرای ایالتی
das,Staatstheater,Staatstheater,Staatstheater,,state theatre,تئاتر ایالتی
der,Saal,Säle,Säle,,saloon,تالار
das,Wahrzeichen,Wahrzeichen,Wahrzeichen,,symbol,نشانه اختصاصی
das,Zentrum,Zentren,Zentren,,center,مرکز
die,Richtung,en,Richtungen,,direction,جهت
,abbiegen,,,v,turn,پیچیدن
,folgen,,,v,follow,پيگيري كردن
der,Schild,e,Schilde,,shield,سپر
das,Schild,er,Schilder,,sign,تابلو
,vorbeigehen,,,v,pass by,گذشتن از کنار ...
,überqueren,,,v,cross over,گذشتن از روی ...
die,Architektur,en,Architekturen,,architecture,معماری
der,Augenblick,e,Augenblicke,,moment,لحظه
der,Besitzer,Besitzer,Besitzer,,owner,مالک
die,Besitzerin,nen,Besitzerinnen,,owner,مالک
das,Fernsehen,,,,television,تلویزیون
das,Gebäude,Gebäude,Gebäude,,building,ساختمان
die,Gelegenheit,en,Gelegenheiten,,opportunity,فرصت
die,Geschichte,en,Geschichteen,,story,داستان
die,Gültigkeit,en,Gültigkeiten,,validity,اعتبار
der,Hinweis,e,Hinweise,,notice,اشاره
die,Idee,n,Ideen,,idea,اندیشه
der,Jahreswechsel,Jahreswechsel,Jahreswechsel,,turn of the year,آغاز سال نو
das,Jahrhundert,e,Jahrhunderte,,century,قرن
der,Kiosk,e,Kioske,,kiosk,دكه
die,Traffik,en,Traffiken,,traffic,ترافیک
der,Reisende,n,Reisenden,,traveller,مسافر
die,Reisende,n,Reisenden,,traveller,مسافر
die,Richtung,en,Richtungen,,direction,جهت
der,Plan,Pläne,Pläne,,plan,برنامه
das,Profil,e,Profile,,profile,پروفایل
die,Stufe,n,Stufen,,step,پله
der,Typ,en,Typen,,type,نوع
die,Vorliebe,n,Vorlieben,,preference,علاقه
die,Warnung,en,Warnungen,,warning,هشدار
das,Zeugnis,se,Zeugnisse,,certificate,کارنامه
,auskennen,,,v,be well versed,به خوبی شناختن
,befinden,,,v,be,بودن
,beschließen,,,v,decide,تصمیم گرفتن
,bieten,,,v,offer,پیشنهاد کردن
,einholen,,,v,catch up,رسیدن
,einsteigen,,,v,get in,سوار شدن
,fotografieren,,,v,photograph,عكس گرفتن
,gelten,,,v,to be valid,اعتبار داشتن
,melden,,,v,report,گزارش دادن
,nachdenken,,,v,ponder,تأمل کردن
,stammen,,,v,origin,متعلق به جایی بودن
,stattfinden,,,v,take place,برگزار شدن
,steigen,,,v,climb,بالا رفتن
,vernetzen,,,v,network,به هم وصل کردن
,angenehm,,,adj,pleasant,دلپذیر
,anschließend,,,adv,afterward,سپس
,aufregend,,,adj,exciting,هیجان انگیز
,beliebig,,,adj,any,"هر،دلخواه"
,direkt,,,adv,direct,مستقیم
,erhältlich,,,adj,available,در دسترس
,faul,,,adj,lazy,تنبل
,gültig,,,adj,valid,معتبر
,golden,,,adj,golden,طلایی
,kompliziert,,,adj,complicated,پیچیده
,öffentlich,,,adj,public,عمومی
,reiselustig,,,adj,fond of travelling,عشق سفر
,übertragbar,,,adj,transferable,قابل انتقال
,zeitgenössisch,,,adj,contemporary,معاصر
,weltberühmt,,,adj,world famous,نامدار جهانی
,bisher,,,adv,until now,تا الان
,gratis,,,adv,free,رایگان
,umsonst,,,adv,for free,به صورت رایگان
,hinein,,,adv,inside,داخل
,hinaus,,,adv,out,بیرون
,herein,,,adv,in,به داخل
,heraus,,,adv,out of here,به‌ بیرون
,rein,,,adv,pure,خالص
,raus,,,adv,get out,برو بیرون
,rüber,,,adv,over here,به این‌طرف
,hinüber,,,adv,over there,بیش از
,schräg,,,adj,slant,کج
,unterwegs,,,adv,on the way,در راه
,vorbei,,,adv,past,گذشته
,bis,,,konj,until,تا
,entlang,,,adv,along,در امتداد
,gegenüber,,,adv,opposite,مقابل
,übrigens,,,adv,by the way,ضمناً
,gleich bei,,,adv,right next to,درست کنارِ
,,,,,,
die,Ausbildung,en,Ausbildungen,,training,آموزش
die,Berufsausbildung,en,Berufsausbildungen,,vocational training,آموزش حرفه‌ای
der,Auszubildende,n,Auszubildenden,,trainee,کارآموز
der,Auszubildende,n,Auszubildenden,,trainee,کارآموز
der,Azubi,s,Azubis,,trainee,کارآموز
die,Azubi,s,Azubis,,trainee,کارآموز
die,Lehre,n,Lehren,,teach,آموزش
die,Banklehre,,,,banking apprenticeship,کارآموزی در بانک
der,Lehrling,e,Lehrlinge,,apprentice,شاگرد
der,Studentenplatz,Studentenplätze,Studentenplätze,,student place,ظرفیت دانشجویی
der,Studienplatz,Studienplätze,Studienplätze,,university place,محل دانشگاه
die,Schule,n,Schulen,,school,مدرسه
die,Berufsschule,n,Berufsschulen,,vocational school,مدرسه حرفه‌ای
die,Berufsfachschule,n,Berufsfachschulen,,vocational school,مدرسه حرفه‌ای
das,Gymnasium,Gymnasien,Gymnasien,,high school,دبیرستان
